CRITÈRES,Poids,Prestataire A,Note A,Prestataire B,Note B,Prestataire C,Note C,Commentaires
,,,,,,,,
1. PRIX ET TRANSPARENCE,/20,,,,,,,,
Prix tout compris / élève,/10,485€,8/10,520€,7/10,445€,9/10,Inclure TOUS les suppléments
Clarté du devis et détails,/5,Très détaillé,5/5,Moyen,3/5,Détaillé,4/5,Vérifier prestations incluses/exclues
Gratuités accompagnateurs,/5,1 pour 10,5/5,1 pour 15,3/5,1 pour 12,4/5,Important pour réduire coûts
SOUS-TOTAL PRIX,,18/20,,13/20,,17/20,
,,,,,,,,
2. CONFORMITÉ LÉGALE,/15,,,,,,,,
Immatriculation Atout France,/5,IM075210019,5/5,IM069123456,5/5,Non fourni,0/5,OBLIGATOIRE - Vérifier validité
Garantie financière visible,/5,APST,5/5,APST,5/5,Floue,2/5,Protège en cas de faillite
Assurance RC professionnelle,/5,Attestation OK,5/5,Attestation OK,5/5,Attestation OK,5/5,Demander copie
SOUS-TOTAL LÉGAL,,15/15,,15/15,,7/15,⚠️ ATTENTION Prestataire C
,,,,,,,,
3. QUALITÉ PROGRAMME,/20,,,,,,,,
Richesse pédagogique,/10,Bon contenu,8/10,Excellent,9/10,Basique,6/10,Lien avec programmes scolaires
Adéquation niveau élèves,/5,Bien adapté,5/5,Bien adapté,5/5,Moyen,3/5,Âge et maturité des élèves
Dossier pédagogique fourni,/5,15 pages,4/5,25 pages + activités,5/5,Aucun,0/5,Préparation + suivi voyage
SOUS-TOTAL PÉDAGO,,17/20,,19/20,,9/20,
,,,,,,,,
4. HÉBERGEMENT & REPAS,/15,,,,,,,,
Qualité hébergement,/8,Hôtel 3*,7/8,Auberge standard,5/8,Hôtel 2*,6/8,Vérifier avis TripAdvisor
Qualité restauration,/7,Pension complète,7/7,Demi-pension,4/7,Pension complète,7/7,Allergies et régimes spéciaux ?
SOUS-TOTAL LOGISTIQUE,,14/15,,9/15,,13/15,
,,,,,,,,
5. ASSURANCES,/10,,,,,,,,
Assurance annulation incluse,/5,Oui (100%),5/5,Non (supplément 22€),0/5,Oui (90%),5/5,ESSENTIELLE - Vérifier conditions
Rapatriement & assistance 24/7,/5,Inclus,5/5,Inclus,5/5,Inclus,5/5,Numéro urgence + compagnie ?
SOUS-TOTAL ASSURANCES,,10/10,,5/10,,10/10,
,,,,,,,,
6. CONDITIONS FLEXIBLES,/10,,,,,,,,
Conditions annulation,/5,Souples (remb. J-45),5/5,Rigides (acompte perdu),2/5,Moyennes,3/5,Lire barème pénalités
Modification programme possible,/5,Oui sans frais,4/5,150€ frais,2/5,Oui 50€,4/5,Flexibilité importante
SOUS-TOTAL FLEXIBILITÉ,,9/10,,4/10,,7/10,
,,,,,,,,
7. CERTIFICATIONS & LABELS,/5,,,,,,,,
Labels qualité,/5,UNOSEL,5/5,Aucun,0/5,Qualité Tourisme,4/5,Gage de sérieux
SOUS-TOTAL CERTIF,,5/5,,0/5,,4/5,
,,,,,,,,
8. AVIS & RÉFÉRENCES,/5,,,,,,,,
Notes établissements clients,/5,4.5/5 étoiles,5/5,3.8/5 étoiles,3/5,Pas de référence,0/5,Contacter 2-3 établissements
SOUS-TOTAL RÉPUTATION,,5/5,,3/5,,0/5,
,,,,,,,,
TOTAL GÉNÉRAL,/100,93/100,⭐ EXCELLENT,68/100,⚠️ MOYEN,67/100,❌ INSUFFISANT,
,,,,,,,,
RECOMMANDATION,,OUI - Meilleur rapport qualité/prix,,À AMÉLIORER - Assurances et flexibilité,,NON - Conformité légale douteuse,
PRIX RÉEL (avec suppléments),,485€,,542€,,445€,Toujours calculer le prix TOUT COMPRIS
,,,,,,,,
NOTES D'UTILISATION:,,,,,,,,
1. Ajustez les poids selon vos priorités (ex: si budget serré augmenter poids Prix),,,,,,,,
2. Notez objectivement chaque critère de 0 à maximum,,,,,,,,
3. Un score < 55/100 = Prestataire à ÉVITER,,,,,,,,
4. Un score 55-69 = Vigilance requise,,,,,,,,
5. Un score 70-84 = Bon prestataire,,,,,,,,
6. Un score 85-100 = Excellent prestataire ⭐,,,,,,,,
7. Privilégiez TOUJOURS la conformité légale (immatriculation obligatoire),,,,,,,,
8. N'oubliez pas de calculer le prix RÉEL avec tous les suppléments,,,,,,,,
